Name,StopID,CleverID,Zone_,Direction,Routes_Sor,Mode,Shelter_Pu,Latitude,Longitude,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y
SOUTH BUSWAY AT INGLEWOOD SHELTER,S42300,6839,1,Inbound,"Y1, Y45, Y46, Y47, Y49",Bus,Port Authority Shelter,40.387575,-79.996944,90,7.29226E-05,-79.9969944,40.38752229
SOUTH BUSWAY AT OVERBROOK SHELTER,S42310,6838,1,Inbound,"Y1, Y45, Y46, Y47, Y49",Bus,Port Authority Shelter,40.385251,-79.995755,90,0.000106033,-79.99585973,40.38526756
SOUTH BUSWAY AT SOUTH BANK,S42330,6841,1,Inbound,"Y1, Y45, Y46, Y47, Y49",Bus,Port Authority Shelter,40.392573,-79.998302,33,6.54614E-05,-79.99823758,40.39258464
SOUTH BUSWAY AT WHITED ST SHELTER,S42380,6842,1,Inbound,"Y1, Y45, Y46, Y47, Y49",Bus,Port Authority Shelter,40.395487,-79.999522,89,8.20353E-05,-79.99959799,40.3954561
WEST BUSWAY AT BELL STATION C,W70099,15277,1,Inbound,"28X, G2, G3, G31",Bus,Port Authority Station,40.415687,-80.082671,63,3.44439E-05,-80.08270058,40.41570464
WEST BUSWAY AT CRAFTON STATION C,W26150,15279,1,Inbound,"28X, G2, G3, G31",Bus,Port Authority Station,40.435959,-80.06756,29,1.92472E-05,-80.06757924,40.43595935
WEST BUSWAY AT IDLEWOOD STATION C,W26160,15278,1,Inbound,"28X, G2, G3, G31",Bus,Port Authority Station,40.426475,-80.072234,29,0.000102517,-80.07230505,40.4265489
WEST BUSWAY AT INGRAM STATION C,W26170,15280,1,Inbound,"28X, G2, G3, G31",Bus,Port Authority Station,40.443848,-80.065849,29,5.15888E-05,-80.06590001,40.4438557
WEST BUSWAY AT SHERADEN STATION C,W26180,15281,1,Inbound,"28X, G2, G3, G31",Bus,Port Authority Station,40.452714,-80.053772,29,4.21294E-05,-80.05376469,40.45275549
BOGGS STATION,X70001,99918,1,Inbound,BLUE,Rail,Port Authority Station,40.416491,-80.01014,33,0.000137337,-80.01026224,40.4164284
