Direction,Name,Routes_Served,NEAR_Y,Routes_Sor,WalkScore,Shelter_Pu,Longitude,StopID,NEAR_DIST,Mode,NEAR_X,Latitude,NEAR_FID,Zone_,CleverID
Inbound,SOUTH BUSWAY AT CENTRAL SHELTER,5,40.39035178,"Y1, Y45, Y46, Y47, Y49",23,Port Authority Shelter,-79.998068,S42270,9.66555E-05,Bus,-79.9981646,40.390355,76,1,6840
Inbound,SOUTH BUSWAY AT EDGEBROOK SHELTER,5,40.40281379,"Y1, Y45, Y46, Y47, Y49",27,Port Authority Shelter,-80.002117,S42280,8.87578E-05,Bus,-80.00220267,40.402837,89,1,6843
Inbound,SOUTH BUSWAY AT INGLEWOOD SHELTER,5,40.38752229,"Y1, Y45, Y46, Y47, Y49",46,Port Authority Shelter,-79.996944,S42300,7.29226E-05,Bus,-79.9969944,40.387575,90,1,6839
Inbound,SOUTH BUSWAY AT OVERBROOK SHELTER,5,40.38526756,"Y1, Y45, Y46, Y47, Y49",33,Port Authority Shelter,-79.995755,S42310,0.000106033,Bus,-79.99585973,40.385251,90,1,6838
Inbound,SOUTH BUSWAY AT SOUTH BANK,5,40.39258464,"Y1, Y45, Y46, Y47, Y49",36,Port Authority Shelter,-79.998302,S42330,6.54614E-05,Bus,-79.99823758,40.392573,33,1,6841
Inbound,SOUTH BUSWAY AT WHITED ST SHELTER,5,40.3954561,"Y1, Y45, Y46, Y47, Y49",34,Port Authority Shelter,-79.999522,S42380,8.20353E-05,Bus,-79.99959799,40.395487,89,1,6842
Inbound,WEST BUSWAY AT BELL STATION C,4,40.41570464,"28X, G2, G3, G31",34,Port Authority Station,-80.082671,W70099,3.44439E-05,Bus,-80.08270058,40.415687,63,1,15277
Inbound,WEST BUSWAY AT CRAFTON STATION C,4,40.43595935,"28X, G2, G3, G31",73,Port Authority Station,-80.06756,W26150,1.92472E-05,Bus,-80.06757924,40.435959,29,1,15279
Inbound,WEST BUSWAY AT IDLEWOOD STATION C,4,40.4265489,"28X, G2, G3, G31",20,Port Authority Station,-80.072234,W26160,0.000102517,Bus,-80.07230505,40.426475,29,1,15278
Inbound,WEST BUSWAY AT INGRAM STATION C,4,40.4438557,"28X, G2, G3, G31",57,Port Authority Station,-80.065849,W26170,5.15888E-05,Bus,-80.06590001,40.443848,29,1,15280
Inbound,WEST BUSWAY AT SHERADEN STATION C,4,40.45275549,"28X, G2, G3, G31",52,Port Authority Station,-80.053772,W26180,4.21294E-05,Bus,-80.05376469,40.452714,29,1,15281
Inbound,BOGGS STATION,1,40.4164284,BLUE,23,Port Authority Station,-80.01014,X70001,0.000137337,Rail,-80.01026224,40.416491,33,1,99918
Inbound,BON AIR STATION,1,40.40898978,BLUE,20,Port Authority Station,-80.003438,X70017,6.19488E-05,Rail,-80.00349315,40.409018,33,1,99904
Inbound,DENISE STATION,1,40.39835028,BLUE,35,Port Authority Station,-79.998536,X70003,2.69987E-05,Rail,-79.99855926,40.398364,33,1,99916
Inbound,KILLARNEY STATION,1,40.37410026,BLUE,34,Port Authority Station,-80.007532,X70009,9.5936E-05,Rail,-80.0075951,40.374028,33,1,99910
Inbound,MCNEILLY STATION,1,40.37812128,BLUE,35,Port Authority Station,-80.004197,X70007,0.000172896,Rail,-80.00430951,40.37799,33,1,99912
Inbound,MEMORIAL HALL STATION,1,40.36665602,BLUE,49,Port Authority Station,-80.016041,X70011,0.000284545,Rail,-80.01613371,40.366387,33,1,99908
Inbound,SOUTH BANK STATION,1,40.39268259,BLUE,36,Port Authority Station,-79.998087,X70005,0.000171005,Rail,-79.99825528,40.392713,33,1,99914
Inbound,WILLOW STATION,1,40.36561172,BLUE,63,Port Authority Station,-80.02597,X70013,0.000101961,Rail,-80.02602198,40.365524,33,1,99906
Inbound,LYTLE STATION,2,40.33341611,BLUE LIBRARY,54,Port Authority Station,-80.030958,X14240,2.50003E-05,Rail,-80.03098293,40.333418,33,2,99958
Inbound,WEST LIBRARY,2,40.29420744,BLUE LIBRARY,39,Port Authority Station,-80.029633,X14570,0.00021156,Rail,-80.02983447,40.294272,33,2,99921
Inbound,SOUTH HILLS VILLAGE STATION,5,40.33934264,"BLUE SOUTH HILLS VILLAGE, RED",50,Port Authority Station,-80.053106,X14472,7.57784E-05,Rail,-80.0531191,40.339268,32,2,99939
Inbound,FIRST AVENUE STATION,2,40.43525905,"BLUE, RED",93,Port Authority Station,-79.996668,P02956,4.55817E-05,Rail,-79.99670608,40.435234,32,Free,99997
Inbound,STATION SQUARE STATION,2,40.43159867,"BLUE, RED",70,Port Authority Station,-80.003189,X14497,1.85259E-06,Rail,-80.00318819,40.431597,32,1,99929
Inbound,STEEL PLAZA STATION,2,40.44017367,"BLUE, RED",99,Port Authority Station,-79.995653,P03510,0.000676605,Rail,-79.99621304,40.439794,3,Free,99995
Inbound,WASHINGTON JUNCTION,2,40.35353548,"BLUE, RED",36,Port Authority Station,-80.02794,X14540,0.00017374,Rail,-80.02810463,40.353591,32,1A,99925
Inbound,WOOD STREET STATION,2,40.4422765,"BLUE, RED",99,Port Authority Station,-79.999515,P70021,0.000148845,Rail,-79.99938854,40.442355,82,Free,99992
Inbound,WEST BUSWAY AT CARNEGIE STATION,1,40.40592537,G2,65,Port Authority Station,-80.0902,W26140,7.22635E-05,Bus,-80.09025925,40.405884,29,1,15276
Inbound,EAST BUSWAY AT EAST LIBERTY STATION C,9,40.45937096,"P1, P13, P17, P2, P3, P67, P68, P69, P71",94,Port Authority Station,-79.923171,E17302,3.12666E-06,Bus,-79.92317028,40.459374,91,1,8161
Inbound,EAST BUSWAY AT NEGLEY STATION C,9,40.45660141,"P1, P13, P17, P2, P3, P67, P68, P69, P71",93,Port Authority Station,-79.932696,E17304,3.70151E-05,Bus,-79.93267845,40.456634,17,1,8162
Inbound,EAST BUSWAY AT HERRON STATION C,8,40.45933468,"P1, P13, P17, P2, P67, P68, P69, P71",77,Port Authority Station,-79.966598,E17306,1.73934E-06,Bus,-79.96659844,40.459333,17,1,8163
Inbound,EAST BUSWAY AT WILKINSBURG STATION C,3,40.44638994,"P1, P2, P3",71,Port Authority Station,-79.888392,E17297,6.40189E-05,Bus,-79.88844489,40.446426,24,1,15880
Inbound,EAST BUSWAY AT HOMEWOOD STATION C,7,40.45299281,"P1, P2, P3, P67, P68, P69, P71",68,Port Authority Station,-79.899254,E17299,1.58481E-05,Bus,-79.89924836,40.452978,17,1,8154
Inbound,EAST BUSWAY AT HAMNETT STATION C,2,40.43753131,"P1, P3",59,Port Authority Station,-79.885844,E17257,6.60276E-05,Bus,-79.88577933,40.437518,26,1,15878
Inbound,EAST BUSWAY AT ROSLYN STATION C,2,40.4192306,"P1, P3",68,Port Authority Station,-79.886408,E17291,9.33051E-05,Bus,-79.8863346,40.419173,26,1A,15879
Inbound,CASTLE SHANNON STATION,1,40.36819659,RED,64,Port Authority Station,-80.030239,X13920,4.53096E-05,Rail,-80.03020859,40.368163,32,1,99976
Inbound,DORMONT JUNCTION,1,40.3916747,RED,77,Port Authority Station,-80.040771,X14010,0.000175941,Rail,-80.04093539,40.391612,32,1,99970
Inbound,FALLOWFIELD STATION,1,40.4111417,RED,51,Port Authority Station,-80.023503,X14045,0.000132755,Rail,-80.02350696,40.411009,32,1,99968
Inbound,MOUNT LEBANON STATION,1,40.38234566,RED,83,Port Authority Station,-80.043263,X14300,4.08404E-05,Rail,-80.04330368,40.382342,32,1,99954
Inbound,POTOMAC STATION,1,40.39718544,RED,86,Port Authority Station,-80.036525,X14405,0.000106781,Rail,-80.03657484,40.397091,32,1,99947
